Paper,SS,SS_overlap,SubSample,keep,missing,RT/accuracy,Study,Authors,comment,todo,Included in Bediou et al 2018,New,Publication_type,Year,VGP_criteria,NVGP_criteria,Game_genre,Age_group,Recruitment,Lab,Cognitive_domain,SubDomain,Task,Measure,Effect,DV_type,Data_source,nExp,nCtl,males_AVGP,males_NVGP,MaleRatioDiff,g_source,Cohen's d,d_var,J,g,g_var
20,20,20,male only,1,NA,NA,Cardoso-Leite et al 2016 MALE ONLY,"Cardoso-Leite, P., Kludt, R., Vignola, G., Ma, W. J., Green, C. S., & Bavelier, D.",NA,WAITING FOR MALE-ONLY DATA,1,NA,published,2016,"those who played first person shooter or other action games for more than 5 hours per week (and at most 3 hours of Turn-based, role playing or music games) were classified as AVGP","those who played less than 1 hour of first-person shooters, action or sports games and real time strategy games were classified as NVGP.",NA,Younger adults,Overt,Bavelier,spatial cognition,WM,Filter task,capacity K,main,accuracy,R CODE + CSV FILES,26,26,1,1,0,MeanSD,0.20222300053261422,0.07731628982638859,0.9849246231155779,0.19917441258488638,0.07500271684984078
20,20,20,male only,NA,NA,NA,Cardoso-Leite et al 2016 MALE ONLY,"Cardoso-Leite, P., Kludt, R., Vignola, G., Ma, W. J., Green, C. S., & Bavelier, D.",NA,WAITING FOR MALE-ONLY DATA,1,NA,published,2016,"those who played first person shooter or other action games for more than 5 hours per week (and at most 3 hours of Turn-based, role playing or music games) were classified as AVGP","those who played less than 1 hour of first-person shooters, action or sports games and real time strategy games were classified as NVGP.",NA,Younger adults,Overt,Bavelier,spatial cognition,WM,Filter task,Inverse efficiency,main,speed,R CODE + CSV FILES,26,26,1,1,0,NA,0.2997831861849028,0.0777872111415305,0.9849246231155779,0.2952638416695525,0.07545954655723432
20,20,20,male only,NA,NA,3,Cardoso-Leite et al 2016 MALE ONLY,"Cardoso-Leite, P., Kludt, R., Vignola, G., Ma, W. J., Green, C. S., & Bavelier, D.",NA,WAITING FOR MALE-ONLY DATA,1,NA,published,2016,"those who played first person shooter or other action games for more than 5 hours per week (and at most 3 hours of Turn-based, role playing or music games) were classified as AVGP","those who played less than 1 hour of first-person shooters, action or sports games and real time strategy games were classified as NVGP.",NA,Younger adults,Overt,Bavelier,multi-tasking,multi-tasking,task switching,Switch cost Accuracy,interaction,speed,R CODE + CSV FILES,26,26,1,1,0,NA,0.416991507276234,0.07859501843404333,0.9849246231155779,0.41070520314644154,0.07624318143890833
20,20,20,male only,NA,NA,3,Cardoso-Leite et al 2016 MALE ONLY,"Cardoso-Leite, P., Kludt, R., Vignola, G., Ma, W. J., Green, C. S., & Bavelier, D.",NA,WAITING FOR MALE-ONLY DATA,1,NA,published,2016,"those who played first person shooter or other action games for more than 5 hours per week (and at most 3 hours of Turn-based, role playing or music games) were classified as AVGP","those who played less than 1 hour of first-person shooters, action or sports games and real time strategy games were classified as NVGP.",NA,Younger adults,Overt,Bavelier,multi-tasking,multi-tasking,task switching,Switch cost RT,interaction,speed,R CODE + CSV FILES,26,26,1,1,0,NA,0.15173063895428215,0.07714444410382187,0.9849246231155779,0.1494432423871322,0.0748360133504816
20,20,20,male only,2,NA,NA,Cardoso-Leite et al 2016 MALE ONLY,"Cardoso-Leite, P., Kludt, R., Vignola, G., Ma, W. J., Green, C. S., & Bavelier, D.",NA,WAITING FOR MALE-ONLY DATA,1,NA,published,2016,"those who played first person shooter or other action games for more than 5 hours per week (and at most 3 hours of Turn-based, role playing or music games) were classified as AVGP","those who played less than 1 hour of first-person shooters, action or sports games and real time strategy games were classified as NVGP.",NA,Younger adults,Overt,Bavelier,multi-tasking,multi-tasking,Task switching,Switch cost efficiency index (switch cost),interaction,speed,R CODE + CSV FILES,26,26,1,1,0,MeanSD,0.2760475762073905,0.07765579100317284,0.9849246231155779,0.27188605495803286,0.07533205896764951
20,20,20,male only,NA,NA,1,Cardoso-Leite et al 2016 MALE ONLY,"Cardoso-Leite, P., Kludt, R., Vignola, G., Ma, W. J., Green, C. S., & Bavelier, D.",NA,WAITING FOR MALE-ONLY DATA,1,NA,published,2016,"those who played first person shooter or other action games for more than 5 hours per week (and at most 3 hours of Turn-based, role playing or music games) were classified as AVGP","those who played less than 1 hour of first-person shooters, action or sports games and real time strategy games were classified as NVGP.",NA,Younger adults,Overt,Bavelier,top-down attention,top-down attention,AX CPT,Main effect: accuracy,main,accuracy,R CODE + CSV FILES,26,26,1,1,0,NA,0.26634687247682204,0.07760519861998255,0.9849246231155779,0.26233159299224684,0.07528298048496881
20,20,20,male only,NA,NA,1,Cardoso-Leite et al 2016 MALE ONLY,"Cardoso-Leite, P., Kludt, R., Vignola, G., Ma, W. J., Green, C. S., & Bavelier, D.",NA,WAITING FOR MALE-ONLY DATA,1,NA,published,2016,"those who played first person shooter or other action games for more than 5 hours per week (and at most 3 hours of Turn-based, role playing or music games) were classified as AVGP","those who played less than 1 hour of first-person shooters, action or sports games and real time strategy games were classified as NVGP.",NA,Younger adults,Overt,Bavelier,top-down attention,top-down attention,AX CPT,Main effect: rt,main,speed,R CODE + CSV FILES,26,26,1,1,0,NA,-0.25997148717425056,0.07757293436676531,0.9849246231155779,-0.25605231902589504,0.0752516816907062
20,20,20,male only,3,NA,NA,Cardoso-Leite et al 2016 MALE ONLY,"Cardoso-Leite, P., Kludt, R., Vignola, G., Ma, W. J., Green, C. S., & Bavelier, D.",NA,WAITING FOR MALE-ONLY DATA,1,NA,published,2016,"those who played first person shooter or other action games for more than 5 hours per week (and at most 3 hours of Turn-based, role playing or music games) were classified as AVGP","those who played less than 1 hour of first-person shooters, action or sports games and real time strategy games were classified as NVGP.",NA,Younger adults,Overt,Bavelier,top-down attention,top-down attention,AX CPT,Main effect: efficiency index,main,speed,R CODE + CSV FILES,26,26,1,1,0,MeanSD,0.3213706996628039,0.07791614544809385,0.9849246231155779,0.3165259152457767,0.07558462269977964
20,20,20,male only,NA,NA,2,Cardoso-Leite et al 2016 MALE ONLY,"Cardoso-Leite, P., Kludt, R., Vignola, G., Ma, W. J., Green, C. S., & Bavelier, D.",NA,WAITING FOR MALE-ONLY DATA,1,NA,published,2016,"those who played first person shooter or other action games for more than 5 hours per week (and at most 3 hours of Turn-based, role playing or music games) were classified as AVGP","those who played less than 1 hour of first-person shooters, action or sports games and real time strategy games were classified as NVGP.",NA,Younger adults,Overt,Bavelier,verbal cognition,verbal cognition,N-Back,Main effect: accuracy,main,accuracy,R CODE + CSV FILES,26,26,1,1,0,NA,0.12200927990564277,0.07706621408060667,0.9849246231155779,0.12016994402766826,0.07476012424233192
20,20,20,male only,NA,NA,2,Cardoso-Leite et al 2016 MALE ONLY,"Cardoso-Leite, P., Kludt, R., Vignola, G., Ma, W. J., Green, C. S., & Bavelier, D.",NA,WAITING FOR MALE-ONLY DATA,1,NA,published,2016,"those who played first person shooter or other action games for more than 5 hours per week (and at most 3 hours of Turn-based, role playing or music games) were classified as AVGP","those who played less than 1 hour of first-person shooters, action or sports games and real time strategy games were classified as NVGP.",NA,Younger adults,Overt,Bavelier,verbal cognition,verbal cognition,N-Back,Main effect: rt,main,speed,R CODE + CSV FILES,26,26,1,1,0,NA,0.339224888988077,0.0780295531279709,0.9849246231155779,0.3341109459380055,0.07569463682644707
20,20,20,male only,4,NA,NA,Cardoso-Leite et al 2016 MALE ONLY,"Cardoso-Leite, P., Kludt, R., Vignola, G., Ma, W. J., Green, C. S., & Bavelier, D.",NA,WAITING FOR MALE-ONLY DATA,1,NA,published,2016,"those who played first person shooter or other action games for more than 5 hours per week (and at most 3 hours of Turn-based, role playing or music games) were classified as AVGP","those who played less than 1 hour of first-person shooters, action or sports games and real time strategy games were classified as NVGP.",NA,Younger adults,Overt,Bavelier,verbal cognition,verbal cognition,N-Back,Main effect: effieciency index,main,speed,R CODE + CSV FILES,26,26,1,1,0,MeanSD,0.3128199455521242,0.07786400306091572,0.9849246231155779,0.30810406697596154,0.07553404059463495
73,74,74,male only,1,NA,NA,Unsworth et al. 2015-EXP2 / extreme groups - reanalysis,"Unsworth, N., Redick, T. S., McMillan, B. D., Hambrick, D. Z., Kane, M. J., & Engle, R. W.",NA,NA,1,NA,published,2015,"""From paper : 5h or more/week, past year; first-person shooter games
From excel file : B : AVGP; C : NVGP; E : Gender.RESP; F : Shooter; G : Strategy; H : RolePlay; I : SportsAction
SI(ET(E2=1;F2>3);1;0) meaning males who play 4h or more/week, past year; first-person shooter games""","""From paper : both no FPS and <1h/week other games
From excel file : B : AVGP; C : NVGP; E : Gender.RESP; F : Shooter; G : Strategy; H : RolePlay; I : SportsAction
SI(ET(E2=1;ET(F2<2;SOMME(G2:I2)<4));1;0) meaning males who play <=1h/week first-person shooter games and less than 4h/week of strategy, role play, sports action games combined
""",NA,Younger adults,Covert,Other,inhibition,inhibition,SART,Main effect : SART.RT_trim_ISD (standard deviation of response time on go trials),main,speed,Not in the paper,45,57,1,1,0,MeanSD + Ttest,0.2784833176447044,0.04014624343118033,0.9924812030075187,0.2763894581135412,0.03954481008224806
