Paper,SS,SS_overlap,SubSample,keep,missing,RT/accuracy,Study,Authors,comment,todo,Included in Bediou et al 2018,New,Publication_type,Year,VGP_criteria,NVGP_criteria,Game_genre,Age_group,Recruitment,Lab,Cognitive_domain,SubDomain,Task,Measure,Effect,DV_type,Data_source,nExp,nCtl,males_AVGP,males_NVGP,MaleRatioDiff,g_source,Cohen's d,d_var,J,g,g_var,included
1,1,1,,NA,NA,NA,Adams Thesis EXP2a,"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Recruitment!?,Other,spatial cognition,spatial cognition,Paper Folding,accuracy,main,accuracy,NA,19,20,1,1,0,MeanSD,0.563836482455125,0.10670736842105263,0.9795918367346939,0.5523296154662448,0.10239640851399635,included
1,1,1,,NA,NA,1,Adams Thesis EXP2a,"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Recruitment!?,Other,spatial cognition,spatial cognition,Mental Rotation,accuracy,main,accuracy,paper page 98,20,19,1,1,0,MeanSD,0.6472021026831448,0.10800171435400283,0.9795918367346939,0.6339938965059377,0.10363846308688984,included
1,1,1,,NA,NA,1,Adams Thesis EXP2a,"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Recruitment!?,Other,spatial cognition,spatial cognition,Mental Rotation,R-Secs,main,speed,paper page 98,20,19,1,1,0,MeanSD,0.19381176557311647,0.10311315587652956,0.9795918367346939,0.18985642341856307,0.09894740155748609,included
1,1,1,,1,NA,NA,Adams Thesis EXP2a,"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Mental Rotation,RT/accuracy,main,speed,paper page 98,20,19,1,1,0,Ttest,0.2851218576051484,0.10367381578947368,0.9795918367346939,0.2793030441846352,0.09948541090335167,included
1,1,1,,NA,NA,2,Adams Thesis EXP2a,"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Race,RT,main,speed,paper page 99,20,20,1,1,0,MeanSD,0.049755242168864754,0.10003094480154104,0.9801324503311258,0.04876672742378797,0.09609568944050502,included
1,1,1,,NA,NA,2,Adams Thesis EXP2a,"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Race,accuracy,main,accuracy,paper page 99,20,20,1,1,0,MeanSD,0.37776051539265837,0.1017837875873716,0.9801324503311258,0.3702553395901552,0.09777957472539746,included
1,1,1,,2,NA,NA,Adams Thesis EXP2a,"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Race,RT/accuracy,main,speed,paper page 99,20,20,1,1,0,Ftest,0.37416573867739417,0.10175000000000001,0.9801324503311258,0.36673198227983006,0.09774711635454586,included
1,1,1,,3,NA,NA,Adams Thesis EXP2a,"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Interception,hits,main,accuracy,paper page 100,20,20,1,1,0,MeanSD,0.907573688468325,0.11029612500000001,0.9801324503311258,0.8895424231345173,0.10595703355116004,included
1,1,1,,4,NA,NA,Adams Thesis EXP2a,"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Overt,Other,bottom-up attention,bottom-up attention,ANT: Attentional Network Test,alerting RT,interaction,speed,paper page 101 + excel email,20,18,1,1,0,MeanSD,0.09746794344808964,0.10568055555555556,0.9790209790209791,0.09542316141771014,0.10129291842578557,included
1,1,1,,5,NA,NA,Adams Thesis EXP2a,"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Overt,Other,bottom-up attention,bottom-up attention,ANT: Attentional Network Test,orienting RT,interaction,speed,paper page 101 + excel email,20,18,1,1,0,MeanSD,0.38987177379235854,0.10755555555555556,0.9790209790209791,0.38169264567084055,0.10309007232084157,included
1,1,1,,6,NA,NA,Adams Thesis EXP2a,"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Overt,Other,top-down attention,top-down attention,ANT: Attentional Network Test,conflict RT,interaction,speed,paper page 101 + excel email,20,18,1,1,0,MeanSD,0.2566655844133027,0.10642236111111111,0.9790209790209791,0.25128099173330337,0.10200392575567402,included
2,2,2,,NA,NA,3,Adams Thesis EXP2b (EEG),"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Mental Rotation,accuracy,main,accuracy,paper page 109,14,13,1,1,0,Ttest,0.09243946638235719,0.1485098901098901,0.9696969696969697,0.08963827043137666,0.1396456634274816,included
2,2,2,,7,NA,3,Adams Thesis EXP2b (EEG),"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Mental Rotation,RT,main,speed,paper page 109,14,13,1,1,0,Ttest,-0.28887333244486624,0.14989697802197802,0.9696969696969697,-0.2801195950980521,0.14094995913177732,included
7,7,7,,NA,accuracy,4,"Bavelier, Achtman, Mani & Focker 2012-","Bavelier, D., Achtman, R.L., Mani, M., & Föcker, J.",NS in paper,NA,1,NA,published,2012,a minimum of 5 h per week (on average) of action video game play over the previous year.,"NVGP was one or less hours per week of action video game play over the previous year. (Note that some NVGPs did play other kinds of games, such as board games, puzzle games, card games, strategy games or social games)",NA,Younger adults,Overt,Bavelier,top-down attention,top-down attention,Target discrimination (Low vs High Load x Central vs Peripheral distractors),Main effect: accuracy,main,accuracy,In the paper : NS,12,12,1,1,0,NA,NA,NA,NA,NA,NA,included
7,7,7,,1,NA,4,"Bavelier, Achtman, Mani & Focker 2012-","Bavelier, D., Achtman, R.L., Mani, M., & Föcker, J.","le N est marqué 14 dans le MA_data, total = 26 dans MA_data_ERRATUM, 12 dans le ES_computation et dans le papier : Two of the 14 NVGPs did not meet our performance criteria, leaving 12 NVGPs and 12 VGPs who were scanned --> CORRECTION N=12",NA,1,NA,published,2012,a minimum of 5 h per week (on average) of action video game play over the previous year.,"NVGP was one or less hours per week of action video game play over the previous year. (Note that some NVGPs did play other kinds of games, such as board games, puzzle games, card games, strategy games or social games)",NA,Younger adults,Overt,Bavelier,top-down attention,top-down attention,Target discrimination (Low vs High Load x Central vs Peripheral distractors),Main effect: RT,main,speed,NA,12,12,1,1,0,Ftest,1.3416407864998738,0.20416666666666666,0.9655172413793104,1.2953773111033264,0.19032897344431235,included
8,8,8,,1,NA,NA,"Bavelier, Cohen, Shannon 2006 personal comm.","Bavelier, D., Cohen, J., & Bailey, S.",NA,NA,1,NA,unpublished,2006,Bavelier Lab criteria,Bavelier Lab criteria,NA,Younger adults,Overt,Bavelier,verbal cognition,verbal cognition,OSPAN,Main effect : ospan score,main,accuracy,Personnal comm. Data from ppt + excel from author,12,9,1,1,0,MeanSD,0.2438075254508657,0.1958597327650748,0.96,0.23405522443283105,0.18050432971629293,included
9,9,9,,1,NA,NA,Bejjanki et al. 2014-EXP1,"Bejjanki, V. R., Zhang, R., Li, R., Pouget, A., Green, C. S., Lu, Z. L., & Bavelier, D.",NA,NA,1,NA,published,2014,Participants who reported playing at least 5 h of action video games per week during the past year were,Participants who had little to no action video game experience (less than 1 h per week) during the past year were classified as NVGP,NA,Younger adults,Overt,Bavelier,perception,perception,Orientation Identification,Main effect: contrast threshold,main,accuracy,NA,10,10,1,1,0,Ftest,1.0788883167408942,0.22910000000000003,0.9577464788732395,1.033301486456068,0.2101484626066257,included
11,11,11,,1,NA,NA,Blacker & Curby 2013-EXP1,"Blacker, K. J., & Curby, K. M.",same subjects as EXP2,NA,1,NA,published,2013,"participants were classified as AVGPs if they reported playing ≥ 5 h/week of action games (e.g., Halo, Call of Duty), on average, over the past year",Participants who reported <1 h/week of action video games and <5 h/week of other types of games were classified as NVGPs,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Visual Short Term Memory (VSTM) / change detection SIMPLE,Main effect: accuracy,main,accuracy,NA,44,43,0.8958333333333334,0.8775510204081632,0.01828231292517013,Ftest,0.6616335732116726,0.04849894291754757,0.9911504424778761,0.6557784088469675,0.04764435272595479,included
11,11,11,,2,NA,NA,Blacker & Curby 2013-EXP2,"Blacker, K. J., & Curby, K. M.",same subjects as EXP1,NA,1,NA,published,2013,"participants were classified as AVGPs if they reported playing ≥ 5 h/week of action games (e.g., Halo, Call of Duty), on average, over the past year",Participants who reported <1 h/week of action video games and <5 h/week of other types of games were classified as NVGPs,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Visual Short Term Memory (VSTM) / change detection COMPLEX,Main effect: accuracy,main,accuracy,NA,21,23,0.9130434782608695,0.9583333333333334,-0.04528985507246386,Ftest,0.6829481821205016,0.09639751552795031,0.9820359281437125,0.670679651902768,0.09296523997417445,included
14,14,14,,1,NA,NA,Cain & Mitroff 2011,"Cain, M. S., & Mitroff, S. R.",NA,NA,1,NA,published,2011,Video game players were defined as those who played first-person shooter and/or action-video games at least six hours per week for the prior six months.,Non-video game players were categorized as those who played less than one hour per week of first-person shooter and action-video games for the prior six months.,NA,Younger adults,Covert,Other,top-down attention,top-down attention,Distractor Filtering,Main effect: RT,main,speed,matched gender (page 1189),7,9,1,1,0,Ftest,0.9251340529204489,0.2807142857142857,0.9454545454545454,0.8746721954884245,0.25092609208972844,included
20,20,20,male only,1,NA,NA,Cardoso-Leite et al 2016 MALE ONLY,"Cardoso-Leite, P., Kludt, R., Vignola, G., Ma, W. J., Green, C. S., & Bavelier, D.",NA,WAITING FOR MALE-ONLY DATA,1,NA,published,2016,"those who played first person shooter or other action games for more than 5 hours per week (and at most 3 hours of Turn-based, role playing or music games) were classified as AVGP","those who played less than 1 hour of first-person shooters, action or sports games and real time strategy games were classified as NVGP.",NA,Younger adults,Overt,Bavelier,spatial cognition,WM,Filter task,capacity K,main,accuracy,R CODE + CSV FILES,26,26,1,1,0,MeanSD,0.20222300053261422,0.07731628982638859,0.9849246231155779,0.19917441258488638,0.07500271684984078,included
