Included,MaleRatioDiff>20,Paper,SS,SS_overlap,SubSample,keep,missing,RT/accuracy,Study,Authors,comment,todo,Included in Bediou et al 2018,New,Publication_type,Year,VGP_criteria,NVGP_criteria,Game_genre,Age_group,Recruitment,Lab,Cognitive_domain,SubDomain,Task,Measure,Effect,DV_type,Data_source,nExp,nCtl,males_AVGP,males_NVGP,MaleRatioDiff,g_source,Cohen's d,d_var,J,g,g_var
included,0,1,1,1,,NA,NA,NA,Adams Thesis EXP2a,"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Recruitment!?,Other,spatial cognition,spatial cognition,Paper Folding,accuracy,main,accuracy,NA,19,20,1,1,0,MeanSD,0.563836482,0.106707368,0.979591837,0.552329615,0.102396409
included,0,1,1,1,,NA,NA,1,Adams Thesis EXP2a,"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Recruitment!?,Other,spatial cognition,spatial cognition,Mental Rotation,accuracy,main,accuracy,paper page 98,20,19,1,1,0,MeanSD,0.647202103,0.108001714,0.979591837,0.633993897,0.103638463
included,0,1,1,1,,NA,NA,1,Adams Thesis EXP2a,"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Recruitment!?,Other,spatial cognition,spatial cognition,Mental Rotation,R-Secs,main,speed,paper page 98,20,19,1,1,0,MeanSD,0.193811766,0.103113156,0.979591837,0.189856423,0.098947402
included,0,1,1,1,,1,NA,NA,Adams Thesis EXP2a,"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Mental Rotation,RT/accuracy,main,speed,paper page 98,20,19,1,1,0,Ttest,0.285121858,0.103673816,0.979591837,0.279303044,0.099485411
included,0,1,1,1,,NA,NA,2,Adams Thesis EXP2a,"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Race,RT,main,speed,paper page 99,20,20,1,1,0,MeanSD,0.049755242,0.100030945,0.98013245,0.048766727,0.096095689
included,0,1,1,1,,NA,NA,2,Adams Thesis EXP2a,"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Race,accuracy,main,accuracy,paper page 99,20,20,1,1,0,MeanSD,0.377760515,0.101783788,0.98013245,0.37025534,0.097779575
included,0,1,1,1,,2,NA,NA,Adams Thesis EXP2a,"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Race,RT/accuracy,main,speed,paper page 99,20,20,1,1,0,Ftest,0.374165739,0.10175,0.98013245,0.366731982,0.097747116
included,0,1,1,1,,3,NA,NA,Adams Thesis EXP2a,"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Interception,hits,main,accuracy,paper page 100,20,20,1,1,0,MeanSD,0.907573688,0.110296125,0.98013245,0.889542423,0.105957034
included,0,1,1,1,,4,NA,NA,Adams Thesis EXP2a,"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Overt,Other,bottom-up attention,bottom-up attention,ANT: Attentional Network Test,alerting RT,interaction,speed,paper page 101 + excel email,20,18,1,1,0,MeanSD,0.097467943,0.105680556,0.979020979,0.095423161,0.101292918
included,0,1,1,1,,5,NA,NA,Adams Thesis EXP2a,"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Overt,Other,bottom-up attention,bottom-up attention,ANT: Attentional Network Test,orienting RT,interaction,speed,paper page 101 + excel email,20,18,1,1,0,MeanSD,0.389871774,0.107555556,0.979020979,0.381692646,0.103090072
included,0,1,1,1,,6,NA,NA,Adams Thesis EXP2a,"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Overt,Other,top-down attention,top-down attention,ANT: Attentional Network Test,conflict RT,interaction,speed,paper page 101 + excel email,20,18,1,1,0,MeanSD,0.256665584,0.106422361,0.979020979,0.251280992,0.102003926
included,0,2,2,2,,NA,NA,3,Adams Thesis EXP2b (EEG),"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Mental Rotation,accuracy,main,accuracy,paper page 109,14,13,1,1,0,Ttest,0.092439466,0.14850989,0.96969697,0.08963827,0.139645663
included,0,2,2,2,,7,NA,3,Adams Thesis EXP2b (EEG),"Adams, D.M.",NA,NA,1,NA,published,2013,5-7 hours / week over 3 years,1 hour max,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Mental Rotation,RT,main,speed,paper page 109,14,13,1,1,0,Ttest,-0.288873332,0.149896978,0.96969697,-0.280119595,0.140949959
excluded,0.772435897,3,3,3,reanalysis,1,NA,NA,Appelbaum et al. 2013-REANALYSIS,"Appelbaum, L.G., Cain, M.S., Darling, E.F., & Mitroff, S.R.",Excluded gender ratio,NA,1,NA,published,2013,"Self-report VG experience questionnaires (0-6, 6 being highest). Defined as AVGs players if expertise on action/platforming or first-person shooter games as greater than or equal to 5",Rated their expertise on action/platforming or first-person shooter games as 0,NA,Younger adults,Covert,Other,Spatial cognition,Spatial cognition,VSM Task,% Correct Converted to d' measure of sensitivity,NA,accuracy,NA,16,39,0.875,0.102564103,0.772435897,NA,NA,NA,NA,NA,NA
excluded,0,4,4,4,,NA,NA,NA,BAILEY THESIS-CHAP3 Study 2 - 2012,"Bailey, K.",ask FPS group,NA,1,NA,unpublished,2012,"NO AVGP group (violent gamers ans nonviolent gamers), but questions asked about game habits","Criteria for NVGP group is not explicited in the thesis, group average h/week is 2.9 (SD = 7.9), but questions asked about game habits",ALL => ask FPS only,Younger adults,Overt,Other,top-down attention,top-down attention,UFOV,Main effect : accuracy,main,accuracy,page 64,25,25,1,1,0,NA,NA,NA,NA,NA,NA
excluded,#VALUE!,4,5,5,,NA,NA,NA,BAILEY THESIS-CHAP2 Study 1 - 2012,"Bailey, K.",NA,NA,1,NA,unpublished,2012,"NO AVGP group (violent gamers ans nonviolent gamers), but questions asked about game habits","Criteria for NVGP group is not explicited in the thesis, group average h/week is 2.9 (SD = 7.9), but questions asked about game habits",FPS,Younger adults,Overt,Other,top-down attention,top-down attention,UFOV,Main effect : accuracy,main,accuracy,Cf pdf sent by author,34,55,NA,NA,NA,NA,NA,NA,NA,NA,NA
